6961,219759,194934,151163,201895,370922
3757,29972,66693,56951,70450,86923
6212,99394,138619,121777,144831,221171
3833,111374,56777,50683,60610,162057
8225,201154,37509,134063,45734,335217
1448,129979,29044,39660,30492,169639
131,38547,618,1071,749,39618
4894,250116,38590,84669,43484,334785
64003,2688405,888430,1299129,952433,3987534
